Aguada Fort,73.77320439349222,15.49232845,"Fort Aguada is a well-preserved seventeenth-century Portuguese fort, along with a lighthouse, standing in Goa, India, on Sinquerim Beach, overlooking the Arabian Sea.

"
Basilica of Bom Jesus,73.9110524735566,15.50067815,"The Basilica of Bom Jesus (Portuguese: Basílica do Bom Jesus; Konkani: Borea Jezuchi Bajilika) is a Roman Catholic basilica located in Goa, India, and is part of the Churches and convents of Goa UNESCO World Heritage Site. The basilica is located in Old Goa, former capital of Portuguese India, and holds the mortal remains of St. Francis Xavier.'Bom Jesus' (literally, 'Good (or Holy) Jesus') is the name used for the Ecce Homo in the countries of Portuguese colonization. The Jesuit church is India's first minor basilica, and is considered to be one of the best examples of baroque architecture and Portuguese Colonial architecture in India. It is one of the Seven Wonders of Portuguese Origin in the World.

"
Chapora Fort,73.73626198598717,15.6059695,"Chapora Fort, located in Bardez, Goa, rises high above the Chapora River. The site was the location of a fort built by Muslim ruler Adil Shah called Shahpura, whose name the Portuguese altered to Chapora. The fort changed hands several times after Portuguese acquired Bardez. Trying to end the Portuguese rule in Goa, Prince Akbar joined his father’s enemies, the Marathas in 1683 and made this place his base camp. It became the northern outpost of the Old Conquests.  After the Portuguese recovered from an encounter with the Marathas, they strengthened their northern defences and provided shelter to the people there.
Across the Chapora river, the Hindu ruler of Pernem, the Maharaja of Sawantwadi who was an old enemy of the Portuguese held the fort for two years. The Portuguese came in 1717, and carried out extensive repairs of the fort, adding features like bastions and a tunnel that extended to the seashore and banks of the Chapora River for emergencies. The fort fell to Bhonsle in 1739.  In 1741, the Portuguese regained the fort when the northern taluka of Pernem was handed over to them. In 1892, they completely abandoned the fort. When Goa's border moved northwards with the acquisition of Pernem as part of the New Conquests, the fort lost its military significance towards the end of the century. It is a pleasant place to wander that offers fantastic views north across the Chapora river to Pernem, south over Vagator and also far out to the Arabian Sea in the West.
The fort sits on a prominent position which commands views in all directions. It also has steep slopes on all sides. The fort follows the outline of the higher slopes. This forms an irregular outer wall that uses the natural form to add defensive height to the fortifications. This offers an advantage over dry ditches being dug.  At the top of the steep approach track, the main gate is small and unpretentious,  but narrow and deep. Depending on defence requirements, the positions of bastions are irregularly spaced with enormous embrasures for cannon. Each bastion has a cylindrical turret offering a special character to the fort.
Inside the fort, the church, once dedicated to St. Anthony, has disappeared and inside only a few signs exist of the barracks and housing that once filled this vast area.  The wide expanse of open space is only a tumble of stones, where a few herds of goats graze and cashew bushes grow.  A natural valley to the beach protected by rocky promontories provides an excellent natural access to the sea.
The Fort of Chapora got popularized by the movie Dil Chahta Hai and is now a prime attraction of Goa."
Se Cathedral,73.912274142588,15.50378315,"The Sé Catedral de Santa Catarina, known as Se Cathedral, is the cathedral of the Latin Rite Roman Catholic Archdiocese of Goa and Daman and the seat of the Patriarch of the East Indies. It is located in Old Goa, India.
Tourists/visitors are requested to dress appropriately to maintain the atmosphere of reverence and respect."
Reis Magos Fort,73.8095626,15.4971455,"Reis Magos is a village located on the northern bank of the Mandovi River in Bardez, Goa, opposite to the capital city of Panjim. The village is famous for two of Goa’s famous structures; the Reis Magos Fort, and the Reis Magos Church – the first church in Bardez. Reis Magos is the Portuguese name for the Three Wise Men from the Bible."
Church and Convent of St. Francis of Assisi,73.9112,15.5031,"The Church of St. Francis of Assisi was built in 1661 by the Portuguese in the Portuguese Viceroyalty of India. The Church of St. Francis of Assisi, together with a convent, was established by eight Portuguese Franciscan friars who landed in Goa in 1517."
Cabo de Rama,73.9231501,15.0900765,"Cabo de Rama is a fort in Goa, India."
Corjuem Fort,73.892815,15.596764,"Corjuem Fort is a fortress situated 4 kilometres (2.5 mi) from the village of Aldona on the river island of Corjuem, Goa. It was a military fortress for the defense of Portuguese India. It is smaller than the other forts in Goa, but it gives a good view of the surrounding river and land. It is a protected monument under the Goa, Daman and Diu ancient monuments and archaeological sites and remains act.Corjuem Fort is 12 kilometres (7.5 mi) from Panjim."
Mormugao Fort,73.7913,15.3999,"Mormugao is a seaport situated in the eponymous taluka of the district of South Goa, Goa state, India. It has a deep natural harbour and is Goa's chief port. 
In 1917, thirty-one settlements were carved out of the Salcete region to form Mormugao taluka (sub-district) with Mormugao seaport as its headquarters. The remaining thirty-five settlements were retained  in the Salcete territory and encompass the present-day Salcete taluka with Margao as its headquarters."
Mae De Deus Church,73.975332,15.341263,"The Hermitage of Mãe de Deus (Portuguese: Ermida de Mãe de Deus), is a hermitage situated on the hilltop of Ladeira da Mãe de Deus in the civil parish of São Pedro in the municipality of Ponta Delgada. The hermitage is notable for the intricately detailed cornerstones in black basalt coated in plaster, and painted in white. The stonework is primarily in the main facade and practically all of the area around the temple."
